[30.11.2024 14:42:07,30] Bot starting... 
[30.11.2024 14:48:05,36] Bot starting... 
[30.11.2024 14:48:06,51] Bot exited with code 1 
[30.11.2024 14:48:06,51] Restarting bot... 
[30.11.2024 14:48:11,17] Bot starting... 
[30.11.2024 14:48:12,23] Bot exited with code 1 
[30.11.2024 14:48:12,23] Restarting bot... 
[30.11.2024 14:48:17,21] Bot starting... 
[30.11.2024 14:48:18,31] Bot exited with code 1 
[30.11.2024 14:48:18,31] Restarting bot... 
[30.11.2024 15:19:15,28] Bot starting... 
[30.11.2024 15:27:55,82] Bot starting... 
[30.11.2024 15:37:14,81] Bot starting... 
[30.11.2024 15:50:57,99] Bot starting... 
[30.11.2024 15:50:58,11] Bot exited with code 1 
[30.11.2024 15:50:58,11] Restarting bot... 
[30.11.2024 15:51:03,21] Bot starting... 
[30.11.2024 15:51:03,31] Bot exited with code 1 
[30.11.2024 15:51:03,31] Restarting bot... 
[30.11.2024 15:51:08,19] Bot starting... 
[30.11.2024 15:51:08,29] Bot exited with code 1 
[30.11.2024 15:51:08,30] Restarting bot... 
[30.11.2024 15:51:13,17] Bot starting... 
[30.11.2024 15:51:13,25] Bot exited with code 1 
[30.11.2024 15:51:13,25] Restarting bot... 
[30.11.2024 15:52:20,37] Bot starting... 
[30.11.2024 15:57:15,91] Bot starting... 
[30.11.2024 15:57:16,08] Bot exited with code 1 
[30.11.2024 15:57:16,08] Restarting bot... 
[30.11.2024 15:57:21,18] Bot starting... 
[30.11.2024 15:57:21,26] Bot exited with code 1 
[30.11.2024 15:57:21,26] Restarting bot... 
[30.11.2024 15:57:26,13] Bot starting... 
[30.11.2024 15:57:29,45] Bot exited with code 1 
[30.11.2024 15:57:29,46] Restarting bot... 
[30.11.2024 15:58:13,54] Bot starting... 
[30.11.2024 16:10:27,06] Bot starting... 
[30.11.2024 16:24:56,21] Bot starting... 
[30.11.2024 16:26:49,85] Bot starting... 
[30.11.2024 16:38:38,03] Bot starting... 
[30.11.2024 17:08:29,90] Bot starting... 
[01.12.2024 10:36:04,40] Bot starting... 
[01.12.2024 10:39:17,03] Bot starting... 
[01.12.2024 10:56:34,82] Bot starting... 
[01.12.2024 11:09:02,30] Bot starting... 
[01.12.2024 14:42:14,64] Bot starting... 
[01.12.2024 16:28:20,40] Bot starting... 
[01.12.2024 16:30:15,68] Bot starting... 
[01.12.2024 16:31:11,23] Bot starting... 
[02.12.2024 18:14:23,01] Bot starting... 
